datetime,issue_time,horizon_hour,actual_kw,forecast_kw,model
2010-04-25 18:00:00,2010-04-25 18:00:00,1,0.3827666666666667,1.055119209246847,N-HiTS compact lags MAE 168h
2010-04-25 18:00:00,2010-04-25 18:00:00,1,0.3827666666666667,0.5560642650020667,N-BEATS 168h
2010-04-25 18:00:00,2010-04-25 18:00:00,1,0.3827666666666667,0.7588064332572912,TFT known covariates 168h
2010-04-25 19:00:00,2010-04-25 18:00:00,2,0.4353666666666667,1.3711770946087536,N-HiTS compact lags MAE 168h
2010-04-25 19:00:00,2010-04-25 18:00:00,2,0.4353666666666667,1.2789545039643562,TFT known covariates 168h
2010-04-25 19:00:00,2010-04-25 18:00:00,2,0.4353666666666667,0.9661403983547783,N-BEATS 168h
2010-04-25 20:00:00,2010-04-25 18:00:00,3,0.3683333333333333,1.2265643589526032,N-BEATS 168h
2010-04-25 20:00:00,2010-04-25 18:00:00,3,0.3683333333333333,1.699196616352824,N-HiTS compact lags MAE 168h
2010-04-25 20:00:00,2010-04-25 18:00:00,3,0.3683333333333333,1.842232343206314,TFT known covariates 168h
2010-04-25 21:00:00,2010-04-25 18:00:00,4,0.3678333333333333,1.9279527905584493,TFT known covariates 168h
2010-04-25 21:00:00,2010-04-25 18:00:00,4,0.3678333333333333,1.4876695935241881,N-BEATS 168h
2010-04-25 21:00:00,2010-04-25 18:00:00,4,0.3678333333333333,1.7967371854783258,N-HiTS compact lags MAE 168h
2010-04-25 22:00:00,2010-04-25 18:00:00,5,0.9214333333333332,1.1460548546395932,N-BEATS 168h
2010-04-25 22:00:00,2010-04-25 18:00:00,5,0.9214333333333332,1.3299950012503476,N-HiTS compact lags MAE 168h
2010-04-25 22:00:00,2010-04-25 18:00:00,5,0.9214333333333332,1.5213289720811396,TFT known covariates 168h
2010-04-25 23:00:00,2010-04-25 18:00:00,6,0.3961666666666666,1.0061156149929418,TFT known covariates 168h
2010-04-25 23:00:00,2010-04-25 18:00:00,6,0.3961666666666666,0.8588838031087223,N-HiTS compact lags MAE 168h
2010-04-25 23:00:00,2010-04-25 18:00:00,6,0.3961666666666666,0.6631233672623512,N-BEATS 168h
2010-04-26 00:00:00,2010-04-26,1,0.4195,0.7000425461088474,Linear Regression day-ahead 24h
2010-04-26 00:00:00,2010-04-25 18:00:00,7,0.4195,0.4159014701999419,TFT known covariates 168h
2010-04-26 00:00:00,2010-04-26,1,0.4195,0.3499146370825726,LightGBM per-horizon 24h
